Species Common Name,Scientific Name,Taxon Class,Overall Sample Size,Overall MLE,Male Sample Size,Male MLE,Female Sample Size,Female MLE
Addax,Addax nasomaculatus,Mammalia,1215,13.4,558,12.3,656,14.4
"Agouti, Brazilian",Dasyprocta leporina,Mammalia,456,8.1,216,8.8,220,7.8
"Alligator, Chinese",Alligator sinensis,Reptilia,351,30.9,151,25.9,176,32.8
"Anoa, Lowland",Bubalus depressicornis,Mammalia,256,17.7,113,16.3,139,18.8
"Anteater, Giant",Myrmecophaga tridactyla,Mammalia,177,19.7,86,19.4,90,19.7
"Antelope, Roan",Hippotragus equinus,Mammalia,456,12.5,210,12.7,245,12.4
"Antelope, Sable",Hippotragus niger,Mammalia,1398,11.3,602,10.6,795,11.6
"Aracari, Green",Pteroglossus viridis,Aves,358,7.9,174,8.5,175,7.6
"Argus, Great",Argusianus argus,Aves,310,10.8,138,10.6,160,11.1
"Armadillo, Southern Three-banded",Tolypeutes matacas,Mammalia,233,17.6,109,16.4,124,18.7
"Baboon, Hamadryas",Papio hamadryas,Mammalia,134,27.3,57,27.2,77,27.5
Barasingha,Rucervus duvaucelii,Mammalia,568,11.9,228,9,326,13.1
"Barbet, Red and Yellow",Trachyphonus erythrocephalus,Aves,134,4.6,76,4.6,58,3.8
"Bat, Rodrigues Fruit",Pteropus rodricensis,Mammalia,425,14.4,235,13.6,188,16.6
"Bat, Straw-Colored Fruit",Eidolon helvum,Mammalia,960,19,490,18.2,463,20
"Bear, Andean Spectacled",Tremarctos ornatus,Mammalia,143,26.1,79,26.4,64,25.7
"Bear, Asiatic Black",Ursus thibetanus,Mammalia,184,25,82,22.9,102,29.4
"Bear, Brown ",Ursus arctos,Mammalia,388,24.3,193,21.9,193,26.8
"Bear, Polar",Ursus maritimus,Mammalia,540,22.7,251,20.8,288,24.3
"Bear, Sloth",Melursus ursinus,Mammalia,137,17.8,66,15.8,70,19.5
